Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
0.0,10,0.0,0.0,-341.99778968
0.0,10,0.0,0.038461538461538464,-70.84879991
0.0,10,0.0,0.07692307692307693,-336.91471029
0.0,10,0.0,0.11538461538461539,-70.74038355
0.0,10,0.3,0.0,-341.38298439
0.0,10,0.3,0.038461538461538464,-70.2364522
0.0,10,0.3,0.07692307692307693,-336.33063116
0.0,10,0.3,0.11538461538461539,-70.16134651
0.0,10,0.4,0.0,-340.4319307
0.0,10,0.4,0.038461538461538464,-69.22929783
0.0,10,0.4,0.07692307692307693,-335.35516228
0.0,10,0.4,0.11538461538461539,-69.13035273
0.0,10,0.5,0.0,-340.3341527
0.0,10,0.5,0.038461538461538464,-69.13258483
0.0,10,0.5,0.07692307692307693,-335.26001004
0.0,10,0.5,0.11538461538461539,-69.0369623
0.0,10,0.6,0.0,-340.63939399
0.0,10,0.6,0.038461538461538464,-69.44870444
0.0,10,0.6,0.07692307692307693,-335.55735355
0.0,10,0.6,0.11538461538461539,-69.34450456
0.0,10,0.7,0.0,-340.57156476
0.0,10,0.7,0.038461538461538464,-69.37604512
0.0,10,0.7,0.07692307692307693,-335.46602871
0.0,10,0.7,0.11538461538461539,-69.24754204
0.0,10,0.8,0.0,-340.45755735
0.0,10,0.8,0.038461538461538464,-69.25962749
0.0,10,0.8,0.07692307692307693,-335.37306375
0.0,10,0.8,0.11538461538461539,-69.15315177
0.0,10,0.9,0.0,-340.46159425
0.0,10,0.9,0.038461538461538464,-69.26105615
0.0,10,0.9,0.07692307692307693,-335.38277224
0.0,10,0.9,0.11538461538461539,-69.16040594
0.0,10,1.0,0.0,-340.48634953
0.0,10,1.0,0.038461538461538464,-69.28947622
0.0,10,1.0,0.07692307692307693,-335.40386648
0.0,10,1.0,0.11538461538461539,-69.18487612
0.0,10,0.1,0.0,-340.51466774
0.0,10,0.1,0.038461538461538464,-69.31586141
0.0,10,0.1,0.07692307692307693,-335.43452061
0.0,10,0.1,0.11538461538461539,-69.21358169
0.0,10,0.2,0.0,-340.45538126
0.0,10,0.2,0.038461538461538464,-69.25674128
0.0,10,0.2,0.07692307692307693,-335.37330701
0.0,10,0.2,0.11538461538461539,-69.1526094
0.0,15,0.0,0.0,-349.78568945
0.0,15,0.0,0.038461538461538464,-78.80073509
0.0,15,0.0,0.07692307692307693,-344.72022373
0.0,15,0.0,0.11538461538461539,-78.70551684
0.0,15,0.3,0.0,-348.48054696
0.0,15,0.3,0.038461538461538464,-77.48981645
0.0,15,0.3,0.07692307692307693,-343.41883002
0.0,15,0.3,0.11538461538461539,-77.39926888
0.0,15,0.4,0.0,-348.88360292
0.0,15,0.4,0.038461538461538464,-77.89250968
0.0,15,0.4,0.07692307692307693,-343.80128251
0.0,15,0.4,0.11538461538461539,-77.78047985
0.0,15,0.5,0.0,-348.82224144
0.0,15,0.5,0.038461538461538464,-77.83216887
0.0,15,0.5,0.07692307692307693,-343.73905091
0.0,15,0.5,0.11538461538461539,-77.71926586
0.0,15,0.6,0.0,-348.83350833
0.0,15,0.6,0.038461538461538464,-77.8414492
0.0,15,0.6,0.07692307692307693,-343.75235765
0.0,15,0.6,0.11538461538461539,-77.73074319
0.0,15,0.7,0.0,-348.69206458
0.0,15,0.7,0.038461538461538464,-77.69879537
0.0,15,0.7,0.07692307692307693,-343.61098245
0.0,15,0.7,0.11538461538461539,-77.58820902
0.0,15,0.8,0.0,-348.76975247
0.0,15,0.8,0.038461538461538464,-77.77701685
0.0,15,0.8,0.07692307692307693,-343.68841563
0.0,15,0.8,0.11538461538461539,-77.66608062
0.0,15,0.9,0.0,-348.72629132
0.0,15,0.9,0.038461538461538464,-77.73336335
0.0,15,0.9,0.07692307692307693,-343.64557256
0.0,15,0.9,0.11538461538461539,-77.6230964
0.0,15,1.0,0.0,-348.74435031
0.0,15,1.0,0.038461538461538464,-77.75155187
0.0,15,1.0,0.07692307692307693,-343.66297686
0.0,15,1.0,0.11538461538461539,-77.64059624
0.0,15,0.1,0.0,-348.77988402
0.0,15,0.1,0.038461538461538464,-77.78730436
0.0,15,0.1,0.07692307692307693,-343.69844363
0.0,15,0.1,0.11538461538461539,-77.67626447
0.0,15,0.2,0.0,-348.74999672
0.0,15,0.2,0.038461538461538464,-77.75722689
0.0,15,0.2,0.07692307692307693,-343.66889109
0.0,15,0.2,0.11538461538461539,-77.64661023
0.0,20,0.0,0.0,-353.88510495
0.0,20,0.0,0.038461538461538464,-82.88146384
0.0,20,0.0,0.07692307692307693,-348.8208278
0.0,20,0.0,0.11538461538461539,-82.7892619
0.0,20,0.3,0.0,-353.31346119
0.0,20,0.3,0.038461538461538464,-82.30844714
0.0,20,0.3,0.07692307692307693,-348.24624732
0.0,20,0.3,0.11538461538461539,-82.21477535
0.0,20,0.4,0.0,-353.23653098
0.0,20,0.4,0.038461538461538464,-82.23696609
0.0,20,0.4,0.07692307692307693,-348.16192546
0.0,20,0.4,0.11538461538461539,-82.13381343
0.0,20,0.5,0.0,-353.28352979
0.0,20,0.5,0.038461538461538464,-82.28234574
0.0,20,0.5,0.07692307692307693,-348.20567245
0.0,20,0.5,0.11538461538461539,-82.1774163
0.0,20,0.6,0.0,-353.25867469
0.0,20,0.6,0.038461538461538464,-82.25871491
0.0,20,0.6,0.07692307692307693,-348.17925621
0.0,20,0.6,0.11538461538461539,-82.15108306
0.0,20,0.7,0.0,-353.28060626
0.0,20,0.7,0.038461538461538464,-82.28014825
0.0,20,0.7,0.07692307692307693,-348.20463034
0.0,20,0.7,0.11538461538461539,-82.17640108
0.0,20,0.8,0.0,-353.2923181
0.0,20,0.8,0.038461538461538464,-82.2913881
0.0,20,0.8,0.07692307692307693,-348.21489799
0.0,20,0.8,0.11538461538461539,-82.18596654
0.0,20,0.9,0.0,-353.30493692
0.0,20,0.9,0.038461538461538464,-82.30381287
0.0,20,0.9,0.07692307692307693,-348.22799517
0.0,20,0.9,0.11538461538461539,-82.19909625
0.0,20,1.0,0.0,-353.29781936
0.0,20,1.0,0.038461538461538464,-82.29707857
0.0,20,1.0,0.07692307692307693,-348.220967
0.0,20,1.0,0.11538461538461539,-82.19237023
0.0,20,0.1,0.0,-353.2886004
0.0,20,0.1,0.038461538461538464,-82.2877136
0.0,20,0.1,0.07692307692307693,-348.21240198
0.0,20,0.1,0.11538461538461539,-82.18369671
0.0,20,0.2,0.0,-353.28751541
0.0,20,0.2,0.038461538461538464,-82.28664447
0.0,20,0.2,0.07692307692307693,-348.21074107
0.0,20,0.2,0.11538461538461539,-82.18210059
