Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Cu_ecut10_k999_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,10,9 9 9,Cu.pbe-dn-kjpaw_psl.1.0.0,-193.75345359
Cu_ecut10_k999_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,10,9 9 9,Cu.pbe-dn-rrkjus_psl.1.0.0,-103.64625119
Cu_ecut10_k999_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,10,9 9 9,Cu.pbesol-dn-kjpaw_psl.1.0.0,-191.21844143
Cu_ecut10_k999_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,10,9 9 9,Cu.pbesol-dn-rrkjus_psl.1.0.0,-103.45620438
Cu_ecut10_k101010_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,10,10 10 10,Cu.pbe-dn-kjpaw_psl.1.0.0,-194.02058136
Cu_ecut10_k101010_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,10,10 10 10,Cu.pbe-dn-rrkjus_psl.1.0.0,-103.8993048
Cu_ecut10_k101010_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,10,10 10 10,Cu.pbesol-dn-kjpaw_psl.1.0.0,-191.48203065
Cu_ecut10_k101010_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,10,10 10 10,Cu.pbesol-dn-rrkjus_psl.1.0.0,-103.70583992
Cu_ecut10_k111111_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,10,11 11 11,Cu.pbe-dn-kjpaw_psl.1.0.0,-193.99464717
Cu_ecut10_k111111_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,10,11 11 11,Cu.pbe-dn-rrkjus_psl.1.0.0,-103.87912677
Cu_ecut10_k111111_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,10,11 11 11,Cu.pbesol-dn-kjpaw_psl.1.0.0,-191.4561093
Cu_ecut10_k111111_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,10,11 11 11,Cu.pbesol-dn-rrkjus_psl.1.0.0,-103.68565294
Cu_ecut15_k111_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,15,1 1 1,Cu.pbe-dn-kjpaw_psl.1.0.0,-207.10458544
Cu_ecut15_k111_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,15,1 1 1,Cu.pbe-dn-rrkjus_psl.1.0.0,-116.70464357
Cu_ecut15_k111_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,15,1 1 1,Cu.pbesol-dn-kjpaw_psl.1.0.0,-204.39995261
Cu_ecut15_k111_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,15,1 1 1,Cu.pbesol-dn-rrkjus_psl.1.0.0,-116.34368789
Cu_ecut15_k222_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,15,2 2 2,Cu.pbe-dn-kjpaw_psl.1.0.0,-207.30690708
Cu_ecut15_k222_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,15,2 2 2,Cu.pbe-dn-rrkjus_psl.1.0.0,-116.95353818
Cu_ecut15_k222_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,15,2 2 2,Cu.pbesol-dn-kjpaw_psl.1.0.0,-204.56973721
Cu_ecut15_k222_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,15,2 2 2,Cu.pbesol-dn-rrkjus_psl.1.0.0,-116.55994315
Cu_ecut15_k333_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,15,3 3 3,Cu.pbe-dn-kjpaw_psl.1.0.0,-208.08549464
Cu_ecut15_k333_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,15,3 3 3,Cu.pbe-dn-rrkjus_psl.1.0.0,-117.70273021
Cu_ecut15_k333_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,15,3 3 3,Cu.pbesol-dn-kjpaw_psl.1.0.0,-205.35552808
Cu_ecut15_k333_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,15,3 3 3,Cu.pbesol-dn-rrkjus_psl.1.0.0,-117.31590963
Cu_ecut15_k444_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,15,4 4 4,Cu.pbe-dn-kjpaw_psl.1.0.0,-208.18228014
Cu_ecut15_k444_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,15,4 4 4,Cu.pbe-dn-rrkjus_psl.1.0.0,-117.80301665
Cu_ecut15_k444_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,15,4 4 4,Cu.pbesol-dn-kjpaw_psl.1.0.0,-205.45079425
Cu_ecut15_k444_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,15,4 4 4,Cu.pbesol-dn-rrkjus_psl.1.0.0,-117.41464853
Cu_ecut15_k555_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,15,5 5 5,Cu.pbe-dn-kjpaw_psl.1.0.0,-208.29324671
Cu_ecut15_k555_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,15,5 5 5,Cu.pbe-dn-rrkjus_psl.1.0.0,-117.91183879
Cu_ecut15_k555_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,15,5 5 5,Cu.pbesol-dn-kjpaw_psl.1.0.0,-205.56183939
Cu_ecut15_k555_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,15,5 5 5,Cu.pbesol-dn-rrkjus_psl.1.0.0,-117.52383552
Cu_ecut15_k666_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,15,6 6 6,Cu.pbe-dn-kjpaw_psl.1.0.0,-208.11519967
Cu_ecut15_k666_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,15,6 6 6,Cu.pbe-dn-rrkjus_psl.1.0.0,-117.73573615
Cu_ecut15_k666_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,15,6 6 6,Cu.pbesol-dn-kjpaw_psl.1.0.0,-205.38517954
Cu_ecut15_k666_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,15,6 6 6,Cu.pbesol-dn-rrkjus_psl.1.0.0,-117.34884103
