Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Au_ecut10_k999_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,10,9 9 9,Au.pbesol-n-kjpaw_psl.1.0.0,-762.96069009
Au_ecut10_k999_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,10,9 9 9,Au.pbesol-n-rrkjus_psl.1.0.0,-83.53838252
Au_ecut10_k101010_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,10,10 10 10,Au.pbe-n-kjpaw_psl.1.0.0,-773.44402408
Au_ecut10_k101010_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,10,10 10 10,Au.pbe-n-rrkjus_psl.1.0.0,-83.74110881
Au_ecut10_k101010_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,10,10 10 10,Au.pbesol-n-kjpaw_psl.1.0.0,-762.96366676
Au_ecut10_k101010_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,10,10 10 10,Au.pbesol-n-rrkjus_psl.1.0.0,-83.54113285
Au_ecut10_k111111_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,10,11 11 11,Au.pbe-n-kjpaw_psl.1.0.0,-773.44703642
Au_ecut10_k111111_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,10,11 11 11,Au.pbe-n-rrkjus_psl.1.0.0,-83.744192
Au_ecut10_k111111_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,10,11 11 11,Au.pbesol-n-kjpaw_psl.1.0.0,-762.96678901
Au_ecut10_k111111_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,10,11 11 11,Au.pbesol-n-rrkjus_psl.1.0.0,-83.54388433
Au_ecut15_k111_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,15,1 1 1,Au.pbe-n-kjpaw_psl.1.0.0,-775.69064538
Au_ecut15_k111_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,15,1 1 1,Au.pbe-n-rrkjus_psl.1.0.0,-85.94942551
Au_ecut15_k111_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,15,1 1 1,Au.pbesol-n-kjpaw_psl.1.0.0,-765.09095763
Au_ecut15_k111_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,15,1 1 1,Au.pbesol-n-rrkjus_psl.1.0.0,-85.78175562
Au_ecut15_k222_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,15,2 2 2,Au.pbe-n-kjpaw_psl.1.0.0,-774.63340442
Au_ecut15_k222_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,15,2 2 2,Au.pbe-n-rrkjus_psl.1.0.0,-84.89166839
Au_ecut15_k222_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,15,2 2 2,Au.pbesol-n-kjpaw_psl.1.0.0,-764.16204492
Au_ecut15_k222_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,15,2 2 2,Au.pbesol-n-rrkjus_psl.1.0.0,-84.6990898
Au_ecut15_k333_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,15,3 3 3,Au.pbe-n-kjpaw_psl.1.0.0,-774.92621677
Au_ecut15_k333_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,15,3 3 3,Au.pbe-n-rrkjus_psl.1.0.0,-85.18571522
Au_ecut15_k333_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,15,3 3 3,Au.pbesol-n-kjpaw_psl.1.0.0,-764.45272489
Au_ecut15_k333_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,15,3 3 3,Au.pbesol-n-rrkjus_psl.1.0.0,-84.98972681
Au_ecut15_k444_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,15,4 4 4,Au.pbe-n-kjpaw_psl.1.0.0,-774.88135361
Au_ecut15_k444_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,15,4 4 4,Au.pbe-n-rrkjus_psl.1.0.0,-85.1407109
Au_ecut15_k444_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,15,4 4 4,Au.pbesol-n-kjpaw_psl.1.0.0,-764.40783827
Au_ecut15_k444_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,15,4 4 4,Au.pbesol-n-rrkjus_psl.1.0.0,-84.94349944
Au_ecut15_k555_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,15,5 5 5,Au.pbe-n-kjpaw_psl.1.0.0,-774.90439384
Au_ecut15_k555_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,15,5 5 5,Au.pbe-n-rrkjus_psl.1.0.0,-85.16387473
Au_ecut15_k555_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,15,5 5 5,Au.pbesol-n-kjpaw_psl.1.0.0,-764.43059506
Au_ecut15_k555_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,15,5 5 5,Au.pbesol-n-rrkjus_psl.1.0.0,-84.96709427
Au_ecut15_k666_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,15,6 6 6,Au.pbe-n-kjpaw_psl.1.0.0,-774.88356102
Au_ecut15_k666_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,15,6 6 6,Au.pbe-n-rrkjus_psl.1.0.0,-85.14271548
Au_ecut15_k666_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,15,6 6 6,Au.pbesol-n-kjpaw_psl.1.0.0,-764.40909867
Au_ecut15_k666_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,15,6 6 6,Au.pbesol-n-rrkjus_psl.1.0.0,-84.9453222
Au_ecut15_k777_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,15,7 7 7,Au.pbe-n-kjpaw_psl.1.0.0,-774.89044468
Au_ecut15_k777_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,15,7 7 7,Au.pbe-n-rrkjus_psl.1.0.0,-85.1497856
Au_ecut15_k777_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,15,7 7 7,Au.pbesol-n-kjpaw_psl.1.0.0,-764.41636513
Au_ecut15_k777_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,15,7 7 7,Au.pbesol-n-rrkjus_psl.1.0.0,-84.95303118
