Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Ni_ecut10_k999_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,10,9 9 9,Ni.pbesol-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k999_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,10,9 9 9,Ni.pbe-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k999_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,10,9 9 9,Ni.pbe-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k101010_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,10,10 10 10,Ni.pbesol-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k101010_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,10,10 10 10,Ni.pbesol-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k101010_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,10,10 10 10,Ni.pbe-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k101010_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,10,10 10 10,Ni.pbe-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k111111_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,10,11 11 11,Ni.pbesol-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k111111_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,10,11 11 11,Ni.pbesol-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k111111_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,10,11 11 11,Ni.pbe-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k111111_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,10,11 11 11,Ni.pbe-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut15_k111_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,15,1 1 1,Ni.pbesol-spn-kjpaw_psl.1.0.0,-351.4766477
Ni_ecut15_k111_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,15,1 1 1,Ni.pbesol-spn-rrkjus_psl.1.0.0,-266.675448
Ni_ecut15_k111_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,15,1 1 1,Ni.pbe-spn-kjpaw_psl.1.0.0,-353.7423569
Ni_ecut15_k111_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,15,1 1 1,Ni.pbe-spn-rrkjus_psl.1.0.0,-266.530727
Ni_ecut15_k222_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,15,2 2 2,Ni.pbesol-spn-kjpaw_psl.1.0.0,-354.7275049
Ni_ecut15_k222_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,15,2 2 2,Ni.pbesol-spn-rrkjus_psl.1.0.0,-269.1806994
Ni_ecut15_k222_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,15,2 2 2,Ni.pbe-spn-kjpaw_psl.1.0.0,-357.0464023
Ni_ecut15_k222_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,15,2 2 2,Ni.pbe-spn-rrkjus_psl.1.0.0,-269.0843068
Ni_ecut15_k333_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,15,3 3 3,Ni.pbesol-spn-kjpaw_psl.1.0.0,-356.1808938
Ni_ecut15_k333_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,15,3 3 3,Ni.pbesol-spn-rrkjus_psl.1.0.0,-270.6883404
Ni_ecut15_k333_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,15,3 3 3,Ni.pbe-spn-kjpaw_psl.1.0.0,-358.4669673
Ni_ecut15_k333_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,15,3 3 3,Ni.pbe-spn-rrkjus_psl.1.0.0,-270.5540722
Ni_ecut15_k444_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,15,4 4 4,Ni.pbesol-spn-kjpaw_psl.1.0.0,-357.3302074
Ni_ecut15_k444_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,15,4 4 4,Ni.pbesol-spn-rrkjus_psl.1.0.0,-271.7747562
Ni_ecut15_k444_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,15,4 4 4,Ni.pbe-spn-kjpaw_psl.1.0.0,-359.614558
Ni_ecut15_k444_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,15,4 4 4,Ni.pbe-spn-rrkjus_psl.1.0.0,-271.6401643
Ni_ecut15_k555_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,15,5 5 5,Ni.pbesol-spn-kjpaw_psl.1.0.0,-358.0286437
Ni_ecut15_k555_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,15,5 5 5,Ni.pbesol-spn-rrkjus_psl.1.0.0,-272.4985723
Ni_ecut15_k555_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,15,5 5 5,Ni.pbe-spn-kjpaw_psl.1.0.0,-360.3086424
Ni_ecut15_k555_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,15,5 5 5,Ni.pbe-spn-rrkjus_psl.1.0.0,-272.3587586
Ni_ecut15_k666_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,15,6 6 6,Ni.pbesol-spn-kjpaw_psl.1.0.0,-357.2409188
Ni_ecut15_k666_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,15,6 6 6,Ni.pbesol-spn-rrkjus_psl.1.0.0,-271.72999
Ni_ecut15_k666_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,15,6 6 6,Ni.pbe-spn-kjpaw_psl.1.0.0,-359.5209443
Ni_ecut15_k666_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,15,6 6 6,Ni.pbe-spn-rrkjus_psl.1.0.0,-271.5902834
Ni_ecut15_k777_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,15,7 7 7,Ni.pbesol-spn-kjpaw_psl.1.0.0,-357.2085681
Ni_ecut15_k777_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,15,7 7 7,Ni.pbesol-spn-rrkjus_psl.1.0.0,-271.7241718
Ni_ecut15_k777_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,15,7 7 7,Ni.pbe-spn-kjpaw_psl.1.0.0,-359.4848525
Ni_ecut15_k777_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,15,7 7 7,Ni.pbe-spn-rrkjus_psl.1.0.0,-271.5799404
Ni_ecut15_k888_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,15,8 8 8,Ni.pbesol-spn-kjpaw_psl.1.0.0,-357.1905361
Ni_ecut15_k888_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,15,8 8 8,Ni.pbesol-spn-rrkjus_psl.1.0.0,-271.7121346
Ni_ecut15_k888_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,15,8 8 8,Ni.pbe-spn-kjpaw_psl.1.0.0,-359.4593429
Ni_ecut15_k888_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,15,8 8 8,Ni.pbe-spn-rrkjus_psl.1.0.0,-271.558208
Ni_ecut15_k999_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,15,9 9 9,Ni.pbesol-spn-kjpaw_psl.1.0.0,-357.0952609
Ni_ecut15_k999_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,15,9 9 9,Ni.pbesol-spn-rrkjus_psl.1.0.0,-271.6125182
Ni_ecut15_k999_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,15,9 9 9,Ni.pbe-spn-kjpaw_psl.1.0.0,-359.3631854
Ni_ecut15_k999_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,15,9 9 9,Ni.pbe-spn-rrkjus_psl.1.0.0,-271.4584844
Ni_ecut15_k101010_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,15,10 10 10,Ni.pbesol-spn-kjpaw_psl.1.0.0,-357.1551291
Ni_ecut15_k101010_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,15,10 10 10,Ni.pbesol-spn-rrkjus_psl.1.0.0,-271.6703003
Ni_ecut15_k101010_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,15,10 10 10,Ni.pbe-spn-kjpaw_psl.1.0.0,-359.4298905
Ni_ecut15_k101010_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,15,10 10 10,Ni.pbe-spn-rrkjus_psl.1.0.0,-271.5238661
Ni_ecut15_k111111_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,15,11 11 11,Ni.pbesol-spn-kjpaw_psl.1.0.0,-357.1410383
Ni_ecut15_k111111_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,15,11 11 11,Ni.pbesol-spn-rrkjus_psl.1.0.0,-271.6592601
Ni_ecut15_k111111_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,15,11 11 11,Ni.pbe-spn-kjpaw_psl.1.0.0,-359.4161912
Ni_ecut15_k111111_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,15,11 11 11,Ni.pbe-spn-rrkjus_psl.1.0.0,-271.5136431
Ni_ecut20_k111_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,20,1 1 1,Ni.pbesol-spn-kjpaw_psl.1.0.0,-389.2715498
Ni_ecut20_k111_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,20,1 1 1,Ni.pbesol-spn-rrkjus_psl.1.0.0,-303.8424849
Ni_ecut20_k111_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,20,1 1 1,Ni.pbe-spn-kjpaw_psl.1.0.0,-391.5210329
Ni_ecut20_k111_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,20,1 1 1,Ni.pbe-spn-rrkjus_psl.1.0.0,-303.7410012
Ni_ecut20_k222_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,20,2 2 2,Ni.pbesol-spn-kjpaw_psl.1.0.0,-384.4748333
Ni_ecut20_k222_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,20,2 2 2,Ni.pbesol-spn-rrkjus_psl.1.0.0,-298.3945761
Ni_ecut20_k222_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,20,2 2 2,Ni.pbe-spn-kjpaw_psl.1.0.0,-386.1836709
Ni_ecut20_k222_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,20,2 2 2,Ni.pbe-spn-rrkjus_psl.1.0.0,-297.7099439
Ni_ecut20_k333_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,20,3 3 3,Ni.pbesol-spn-kjpaw_psl.1.0.0,-382.9678149
Ni_ecut20_k333_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,20,3 3 3,Ni.pbesol-spn-rrkjus_psl.1.0.0,-296.9230232
Ni_ecut20_k333_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,20,3 3 3,Ni.pbe-spn-kjpaw_psl.1.0.0,-384.9188536
Ni_ecut20_k333_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,20,3 3 3,Ni.pbe-spn-rrkjus_psl.1.0.0,-296.4547091
Ni_ecut20_k444_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,20,4 4 4,Ni.pbesol-spn-kjpaw_psl.1.0.0,-384.6900998
