Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Fr_ecut10_k999_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,9 9 9,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k999_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,9 9 9,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k101010_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,10 10 10,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k101010_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,10 10 10,Fr.pbe-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k101010_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,10 10 10,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k101010_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,10 10 10,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k111111_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,11 11 11,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k111111_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,11 11 11,Fr.pbe-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k111111_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,11 11 11,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k111111_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,11 11 11,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut15_k111_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,15,1 1 1,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1040.37806863
Fr_ecut15_k111_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,15,1 1 1,Fr.pbe-spdn-rrkjus_psl.1.0.0,-253.80069886
Fr_ecut15_k111_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,15,1 1 1,Fr.pz-spdn-kjpaw_psl.1.0.0,-1015.47301933
Fr_ecut15_k111_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,15,1 1 1,Fr.pz-spdn-rrkjus_psl.1.0.0,-253.27164069
Fr_ecut15_k222_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,15,2 2 2,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1047.33692731
Fr_ecut15_k222_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,15,2 2 2,Fr.pbe-spdn-rrkjus_psl.1.0.0,-260.61674517
Fr_ecut15_k222_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,15,2 2 2,Fr.pz-spdn-kjpaw_psl.1.0.0,-1022.48763919
Fr_ecut15_k222_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,15,2 2 2,Fr.pz-spdn-rrkjus_psl.1.0.0,-260.13901385
Fr_ecut15_k333_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,15,3 3 3,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1047.85786103
Fr_ecut15_k333_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,15,3 3 3,Fr.pbe-spdn-rrkjus_psl.1.0.0,-261.11957315
Fr_ecut15_k333_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,15,3 3 3,Fr.pz-spdn-kjpaw_psl.1.0.0,-1023.00616684
Fr_ecut15_k333_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,15,3 3 3,Fr.pz-spdn-rrkjus_psl.1.0.0,-260.63838947
Fr_ecut15_k444_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,15,4 4 4,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1048.35650867
Fr_ecut15_k444_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,15,4 4 4,Fr.pbe-spdn-rrkjus_psl.1.0.0,-261.6071706
Fr_ecut15_k444_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,15,4 4 4,Fr.pz-spdn-kjpaw_psl.1.0.0,-1023.50663497
Fr_ecut15_k444_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,15,4 4 4,Fr.pz-spdn-rrkjus_psl.1.0.0,-261.12722266
Fr_ecut15_k555_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,15,5 5 5,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1048.40331942
Fr_ecut15_k555_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,15,5 5 5,Fr.pbe-spdn-rrkjus_psl.1.0.0,-261.65235643
Fr_ecut15_k555_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,15,5 5 5,Fr.pz-spdn-kjpaw_psl.1.0.0,-1023.55310292
Fr_ecut15_k555_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,15,5 5 5,Fr.pz-spdn-rrkjus_psl.1.0.0,-261.17190894
Fr_ecut15_k666_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,15,6 6 6,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1048.10309358
Fr_ecut15_k666_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,15,6 6 6,Fr.pbe-spdn-rrkjus_psl.1.0.0,-261.35688946
Fr_ecut15_k666_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,15,6 6 6,Fr.pz-spdn-kjpaw_psl.1.0.0,-1023.25139423
Fr_ecut15_k666_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,15,6 6 6,Fr.pz-spdn-rrkjus_psl.1.0.0,-260.87555594
