Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
K_ecut10_k101010_K.pbe-spn-kjpaw_psl.1.0.0.in,K,10,10 10 10,K.pbe-spn-kjpaw_psl.1.0.0,-111.50521611
K_ecut10_k101010_K.pbe-spn-rrkjus_psl.1.0.0.in,K,10,10 10 10,K.pbe-spn-rrkjus_psl.1.0.0,-57.31334237
K_ecut10_k101010_K.pz-spn-rrkjus_psl.1.0.0.in,K,10,10 10 10,K.pz-spn-rrkjus_psl.1.0.0,-57.19230337
K_ecut10_k101010_K.pz-spn-kjpaw_psl.1.0.0.in,K,10,10 10 10,K.pz-spn-kjpaw_psl.1.0.0,-108.27304434
K_ecut10_k111111_K.pbe-spn-kjpaw_psl.1.0.0.in,K,10,11 11 11,K.pbe-spn-kjpaw_psl.1.0.0,-111.50839404
K_ecut10_k111111_K.pbe-spn-rrkjus_psl.1.0.0.in,K,10,11 11 11,K.pbe-spn-rrkjus_psl.1.0.0,-57.3164786
K_ecut10_k111111_K.pz-spn-rrkjus_psl.1.0.0.in,K,10,11 11 11,K.pz-spn-rrkjus_psl.1.0.0,-57.19539186
K_ecut10_k111111_K.pz-spn-kjpaw_psl.1.0.0.in,K,10,11 11 11,K.pz-spn-kjpaw_psl.1.0.0,-108.2762244
K_ecut15_k111_K.pbe-spn-kjpaw_psl.1.0.0.in,K,15,1 1 1,K.pbe-spn-kjpaw_psl.1.0.0,-112.71645545
K_ecut15_k111_K.pbe-spn-rrkjus_psl.1.0.0.in,K,15,1 1 1,K.pbe-spn-rrkjus_psl.1.0.0,-58.48829425
K_ecut15_k111_K.pz-spn-rrkjus_psl.1.0.0.in,K,15,1 1 1,K.pz-spn-rrkjus_psl.1.0.0,-58.40447584
K_ecut15_k111_K.pz-spn-kjpaw_psl.1.0.0.in,K,15,1 1 1,K.pz-spn-kjpaw_psl.1.0.0,-109.52350809
K_ecut15_k222_K.pbe-spn-kjpaw_psl.1.0.0.in,K,15,2 2 2,K.pbe-spn-kjpaw_psl.1.0.0,-112.61895771
K_ecut15_k222_K.pbe-spn-rrkjus_psl.1.0.0.in,K,15,2 2 2,K.pbe-spn-rrkjus_psl.1.0.0,-58.39019318
K_ecut15_k222_K.pz-spn-rrkjus_psl.1.0.0.in,K,15,2 2 2,K.pz-spn-rrkjus_psl.1.0.0,-58.30934583
K_ecut15_k222_K.pz-spn-kjpaw_psl.1.0.0.in,K,15,2 2 2,K.pz-spn-kjpaw_psl.1.0.0,-109.42898905
